ISBN,Net $ USD
9780062281586,$0.85 
9781785981401,$1.00 
9781785982521,$1.00 
9780374316983,$0.50 
9781599953298,$1.00 
9780062291707,$0.50 
9781595144577,$0.50 
9780061709579,$1.00 
9780062345875,$0.50 
9781595145437,$0.50 
9780061734069,$1.00 
9781484723661,$0.35 
9781423142393,$1.00 
9781592337095,$0.50 
9789992195192,$0.50 
9780140096224,$1.00 
9781442441309,$0.35 
9781250090577,$0.50 
9781481423465,$0.35 
9780689857386,$0.50 
9780689857393,$0.50 
9780062824400,$0.85 
9780062431967,$1.00 
9781595556004,$0.50 
9780307360588,$0.50 
9780718039592,$0.50 
9781443424172,$0.35 
9781534417533,$0.50 
9781137330161,$0.50 
9781501123580,$0.50 
9781501123597,$1.00 
9780843169010,$0.35 
9781595144850,$1.00 
9780062431660,$0.50 
9781443407687,$0.35 
9780765381842,$0.50 
9781579655716,$1.00 
9780312644246,$1.00 
9781573890090,$0.50 
9780448454627,$1.00 
9780448450995,$1.00 
9781780655468,$1.00 
9781250064615,$0.50 
9781250075666,$0.50 
9780316240314,$1.00 
9780316507561,$1.00 
9781455570171,$0.50 
9780062371874,$1.00 
9781476738666,$0.50 
9781250090690,$0.35 
9780062390981,$0.50 
9781600599224,$1.00 
9780718006297,$0.50 
9781501142628,$0.50 
9781481431613,$0.50 
9781616205027,$0.50 
9781782351726,$1.00 
9781782352785,$1.00 
9781451693720,$1.00 
9781443423120,$0.50 
9781600583834,$0.35 
9781443448475,$1.00 
9781935693864,$0.65 
9780062427762,$0.50 
9780007315192,$1.00 
9781101938652,$1.00 
9780525954392,$0.50 
9780448466934,$1.00 
9781848797598,$1.00 
9780670068258,$1.00 
9781250080622,$0.50 
9781402791482,$1.00 
9780451419200,$1.00 
9780803732148,$1.00 
9781617733277,$1.00 
9781250106056,$0.50 
9780142417218,$1.00 
9781454709831,$0.50 
9781780651903,$0.25 
9780765319760,$0.50 
9780525428664,$1.00 
9781474838795,$1.00 
9781451676907,$0.50 
9780142403273,$1.00 
9780448451930,$1.00 
9780147512437,$0.50 
9781250054647,$1.00 
9781101935781,$0.50 
9780765328571,$0.50 
9780765337955,$0.50 
9781619636231,$1.00 
9781442473102,$1.00 
9780002006835,$0.35 
9781595147974,$1.00 
9781600582059,$1.00 
9781250001252,$0.50 
9781474870498,$0.85 
9781474841337,$1.00 
9780803738638,$0.50 
9781250090706,$0.35 
9781481425568,$0.95 
9781443418805,$1.00 
9780062322449,$1.00 
9780060529611,$0.50 
9780399173981,$1.00 
9780062693914,$0.75 
9780553508291,$1.00 
9780062353146,$0.85 
9781250036100,$0.50 
9781609925031,$0.75 
9780316300391,$0.50 
9781782351573,$1.00 
9781481445948,$0.75 
9780140363906,$1.00 
9780448455471,$0.50 
9781250137081,$0.50 
9781402785566,$0.50 
9780375872198,$1.00 
9780529100306,$0.50 
9781602558878,$0.50 
9781605299372,$0.50 
9781250008091,$0.35 
9780062264534,$1.00 
9781250078216,$0.50 
9780062235565,$1.00 
9781454923886,$1.00 
9781454924104,$1.00 
