ISBN,PriceDiscounted
9786076183762,2.21
9786076183793,2.21
9788483041840,1.92
9788483041888,1.92
9788483041895,1.92
9788483327760,1.92
9788483327784,1.92
9789505076826,1.92
9789875502789,1.92
9780060744489,1.7
9780062115447,1.7
9780062115751,1.7
9780062118226,1.7
9780062127518,1.7
9780062130877,1.7
9780062195500,1.7
9780062238894,1.7
9780062238917,1.7
9780062238924,1.7
9780062238955,1.7
9780307035868,1.7
9780307235428,1.7
9780307249555,1.7
9780310089827,1.7
9780310325505,1.7
9780310336358,1.7
9780310337874,1.7
9780310339502,1.7
9780310340591,1.7
9780310341451,1.7
9780310341659,1.7
9780310344513,1.7
9780310346586,1.7
9780310349259,1.7
9780310350224,1.7
9780310353751,1.7
9780310355984,1.7
9780310356653,1.7
9780310419136,1.7
9780310421320,1.7
9780310421436,1.7
9780310440840,1.7
9780310445890,1.7
9780310445906,1.7
9780310446132,1.7
9780310446422,1.7
9780310446439,1.7
9780310739876,1.7
9780310743804,1.7
9780310763437,1.7
9780375814952,1.7
9780375826498,1.7
9780439856225,1.7
9780529104335,1.7
9780529104939,1.7
9780529104960,1.7
9780529104984,1.7
9780531217252,1.7
9780545686129,1.7
9780545686150,1.7
9780545686167,1.7
9780545686174,1.7
9780545686228,1.7
9780545686273,1.7
9780570075264,1.7
9780570075486,1.7
9780570075707,1.7
9780689868085,1.7
9780715111260,1.7
9780718008581,1.7
9780718014049,1.7
9780718031152,1.7
9780718036287,1.7
9780718037901,1.7
9780718091736,1.7
9780718091750,1.7
9780718096267,1.7
9780735332201,1.7
9780735337220,1.7
9780736411967,1.7
9780736424219,1.7
9780736953597,1.7
9780736957403,1.7
9780736957427,1.7
9780751568707,1.7
9780758614551,1.7
9780758616159,1.7
9780758625809,1.7
9780758625816,1.7
9780758646040,1.7
9780758646071,1.7
9780758657367,1.7
9780758657374,1.7
9780758657381,1.7
9780764165184,1.7
9780764165191,1.7
9780764165207,1.7
9780764165214,1.7
9780766631762,1.7
9780766637771,1.7
9780766637788,1.7
9780768206739,1.7
9780768206791,1.7
9780768206821,1.7
9780768206869,1.7
9780768206876,1.7
9780768206883,1.7
9780768206920,1.7
9780768206937,1.7
9780768206975,1.7
9780768206999,1.7
9780768207002,1.7
9780768207019,1.7
9780768207033,1.7
9780768207040,1.7
9780768207057,1.7
9780768207064,1.7
9780768207071,1.7
9780768207088,1.7
9780768207095,1.7
9780768207101,1.7
9780768207125,1.7
9780768207132,1.7
9780768207149,1.7
9780768207156,1.7
9780768207163,1.7
9780768207170,1.7
9780768207194,1.7
9780769633084,1.7
9780769646794,1.7
9780769646893,1.7
9780769647197,1.7
9780769647395,1.7
9780769647494,1.7
9780769647593,1.7
9780769647999,1.7
9780769648392,1.7
9780769658162,1.7
9780769664705,1.7
9780769664804,1.7
9780769677118,1.7
9780769677149,1.7
9780769677217,1.7
9780769677231,1.7
9780769677330,1.7
9780769677439,1.7
9780785226284,1.7
9780785288794,1.7
9780786668168,1.7
9780789917799,1.7
9780800725396,1.7
9780829766493,1.7
9780829767858,1.7
9780829768480,1.7
9780829768664,1.7
9780849905728,1.7
9780849919190,1.7
9780849922404,1.7
9780849944284,1.7
9780849944789,1.7
9780880620871,7.94
9780881137866,1.7
9780881885118,1.7
9780887432712,1.7
9780887434471,1.7
9780931759017,1.7
9780931759048,1.7
9780938256939,1.7
9781223080765,1.7
9781223117126,1.7
9781223117140,1.7
9781223126173,1.7
9781223148359,1.7
9781338255522,1.7
9781338255546,1.7
9781338255553,1.7
9781338255560,1.7
9781338255577,1.7
9781338255584,1.7
9781338255591,1.7
9781338255607,1.7
9781338255614,1.7
9781338304909,1.7
