UPC,PriceNet_$,,UPC
5099972363928,3.5,,05099972363928
0602567098355,13,,00602567098355
0602567264071,8.25,,00602567264071
0842812107276,8.25,,00842812107276
0190758594422,9.35,,00190758594422
0190758399423,9.35,,00190758399423
0081227526221,4.84,,00081227526221
0050087379544,13.24,,00050087379544
0190758189321,10.51,,00190758189321
0190758141923,9.35,,00190758141923
0602567572039,9.88,,00602567572039
0889853094721,7.98,,00889853094721
0888750891419,15.46,,00888750891419
0888072033085,11.35,,00888072033085
0602498614709,5,,00602498614709
0602577016936,8.25,,00602577016936
0075678656798,12.4,,00075678656798
0843930013500,12.1,,00843930013500
0888072067752,10.73,,00888072067752
0602557886887,11.39,,00602557886887
0075021517325,8.66,,00075021517325
0018771886921,8.25,,00018771886921
0602498617410,18.44,,00602498617410
0050087374495,15.48,,00050087374495
0602557902082,10.44,,00602557902082
0093624905547,13.91,,00093624905547
0889854822323,7.15,,00889854822323
0050087376482,5,,00050087376482
0078636633619,14.99,,00078636633619
0602567935032,8.25,,00602567935032
0077774610124,3.5,,00077774610124
0602577017278,8.26,,00602577017278
0888072039520,10.73,,00888072039520
0888072384934,10.73,,00888072384934
0602517247321,5,,00602517247321
0602557976991,11.39,,00602557976991
0600753828946,13.22,,00600753828946
0602577112690,14.19,,00602577112690
0190758180427,8.58,,00190758180427
0889854425722,7.98,,00889854425722
0045778755721,10.08,,00045778755721
0075597932201,11.83,,00075597932201
4050538374254,10.63,,04050538374254
0810599022006,8.25,,00810599022006
0093624907961,13.26,,00093624907961
0093624904236,20.74,,00093624904236
0044006616421,5,,00044006616421
0731455617627,10.44,,00731455617627
0050087352431,13.19,,00050087352431
5099994815528,1.1,,05099994815528
0888430969025,7.15,,00888430969025
0190758538020,9.35,,00190758538020
0602567560906,8.25,,00602567560906
0190295643430,13.26,,00190295643430
0075678656132,10.09,,00075678656132
5099967976324,10.44,,05099967976324
0744861112525,11.34,,00744861112525
0602537959112,6.67,,00602537959112
0093624911388,13.26,,00093624911388
0851491003304,9.9,,00851491003304
0843930032761,8.25,,00843930032761
0094638246619,26.79,,00094638246619
0888751466425,9.35,,00888751466425
0074646602225,5.94,,00074646602225
0602547135339,10.44,,00602547135339
0888295561334,11.26,,00888295561334
0888072340275,7.98,,00888072340275
0602567236689,10.44,,00602567236689
0083061105327,7.15,,00083061105327
0600753534250,18.44,,00600753534250
0190758414423,8.81,,00190758414423
0080688996321,7.38,,00080688996321
0602567680390,10.44,,00602567680390
0843930028108,7.63,,00843930028108
0190758831022,8.81,,00190758831022
0190758492827,9.35,,00190758492827
0602517229679,5,,00602517229679
0888072036611,9.35,,00888072036611
0731452461322,5,,00731452461322
